Selection	View	Channel	Begin Time (s)	End Time (s)	Begin File	Begin Path	File Offset (s)	Low Freq (Hz)	High Freq (Hz)	selec.file	element	gap	song	Indiv	Source	Country	Location	Coor.Lat	Coor.Long	Date	Entered.by	Comments	Male.ID.comment	ovlp.sels	old.selec
51	Spectrogram 1	1	372.705666667	372.867478909	ARAYA-SAL-027.WAV	/Users/phoebe/Desktop/Recordings tmp/Punta Cana/ARAYA-SAL-027.WAV	102.667	5276.6	10127.7	ARAYA-SAL-027.Table.1.selections.txt	d	0.343274094999998	NA	2	Own recordins	Dominican Republic	Tree in back of parking lot of Pueblos Indigenas (?), 5 m perch	18.513739	-68.379637	13-Jan-18	PH	Has been singing for a while with long pauses, territory goes back into dense vegetation but trees are not very high, sunny, 20% clouds, 18 degrees C	NA	NA	4
52	Spectrogram 1	1	373.203666667	373.383682785	ARAYA-SAL-027.WAV	/Users/phoebe/Desktop/Recordings tmp/Punta Cana/ARAYA-SAL-027.WAV	103.165	6127.7	10808.5	ARAYA-SAL-027.Table.1.selections.txt	e	0.358530721999998	NA	2	Own recordins	Dominican Republic	Tree in back of parking lot of Pueblos Indigenas (?), 5 m perch	18.513739	-68.379637	13-Jan-18	PH	Has been singing for a while with long pauses, territory goes back into dense vegetation but trees are not very high, sunny, 20% clouds, 18 degrees C	NA	NA	5
53	Spectrogram 1	1	373.680666667	373.860682786	ARAYA-SAL-027.WAV	/Users/phoebe/Desktop/Recordings tmp/Punta Cana/ARAYA-SAL-027.WAV	103.642	5276.6	10042.6	ARAYA-SAL-027.Table.1.selections.txt	f	0.419557228000002	NA	2	Own recordins	Dominican Republic	Tree in back of parking lot of Pueblos Indigenas (?), 5 m perch	18.513739	-68.379637	13-Jan-18	PH	Has been singing for a while with long pauses, territory goes back into dense vegetation but trees are not very high, sunny, 20% clouds, 18 degrees C	NA	NA	6
54	Spectrogram 1	1	374.154666667	374.316478909	ARAYA-SAL-027.WAV	/Users/phoebe/Desktop/Recordings tmp/Punta Cana/ARAYA-SAL-027.WAV	104.116	4936.2	10723.4	ARAYA-SAL-027.Table.1.selections.txt	m	0.305132528999991	NA	2	Own recordins	Dominican Republic	Tree in back of parking lot of Pueblos Indigenas (?), 5 m perch	18.513739	-68.379637	13-Jan-18	PH	Has been singing for a while with long pauses, territory goes back into dense vegetation but trees are not very high, sunny, 20% clouds, 18 degrees C	NA	NA	7
55	Spectrogram 1	1	374.674666667	374.812207072	ARAYA-SAL-027.WAV	/Users/phoebe/Desktop/Recordings tmp/Punta Cana/ARAYA-SAL-027.WAV	104.636	6297.9	9361.7	ARAYA-SAL-027.Table.1.selections.txt	g	0.297504215000004	NA	2	Own recordins	Dominican Republic	Tree in back of parking lot of Pueblos Indigenas (?), 5 m perch	18.513739	-68.379637	13-Jan-18	PH	Has been singing for a while with long pauses, territory goes back into dense vegetation but trees are not very high, sunny, 20% clouds, 18 degrees C	NA	NA	8
56	Spectrogram 1	1	374.938666667	375.111083891	ARAYA-SAL-027.WAV	/Users/phoebe/Desktop/Recordings tmp/Punta Cana/ARAYA-SAL-027.WAV	104.900	5872.3	10297.9	ARAYA-SAL-027.Table.1.selections.txt	h	0.350902407999996	NA	2	Own recordins	Dominican Republic	Tree in back of parking lot of Pueblos Indigenas (?), 5 m perch	18.513739	-68.379637	13-Jan-18	PH	Has been singing for a while with long pauses, territory goes back into dense vegetation but trees are not very high, sunny, 20% clouds, 18 degrees C	NA	NA	9
57	Spectrogram 1	1	375.640666667	375.802478909	ARAYA-SAL-027.WAV	/Users/phoebe/Desktop/Recordings tmp/Punta Cana/ARAYA-SAL-027.WAV	105.602	3829.8	10127.7	ARAYA-SAL-027.Table.1.selections.txt	i	0.373787348000008	NA	2	Own recordins	Dominican Republic	Tree in back of parking lot of Pueblos Indigenas (?), 5 m perch	18.513739	-68.379637	13-Jan-18	PH	Has been singing for a while with long pauses, territory goes back into dense vegetation but trees are not very high, sunny, 20% clouds, 18 degrees C	NA	NA	10
58	Spectrogram 1	1	376.290666667	376.492931969	ARAYA-SAL-027.WAV	/Users/phoebe/Desktop/Recordings tmp/Punta Cana/ARAYA-SAL-027.WAV	106.252	2808.5	9957.4	ARAYA-SAL-027.Table.1.selections.txt	j	0.389043973999989	NA	2	Own recordins	Dominican Republic	Tree in back of parking lot of Pueblos Indigenas (?), 5 m perch	18.513739	-68.379637	13-Jan-18	PH	Has been singing for a while with long pauses, territory goes back into dense vegetation but trees are not very high, sunny, 20% clouds, 18 degrees C	NA	NA	11
59	Spectrogram 1	1	376.753666667	376.959977275	ARAYA-SAL-027.WAV	/Users/phoebe/Desktop/Recordings tmp/Punta Cana/ARAYA-SAL-027.WAV	106.715	3829.8	9702.1	ARAYA-SAL-027.Table.1.selections.txt	k	0.389043973999989	NA	2	Own recordins	Dominican Republic	Tree in back of parking lot of Pueblos Indigenas (?), 5 m perch	18.513739	-68.379637	13-Jan-18	PH	Has been singing for a while with long pauses, territory goes back into dense vegetation but trees are not very high, sunny, 20% clouds, 18 degrees C	NA	NA	12
60	Spectrogram 1	1	377.346666667	377.492297685	ARAYA-SAL-027.WAV	/Users/phoebe/Desktop/Recordings tmp/Punta Cana/ARAYA-SAL-027.WAV	107.308	4936.2	9531.9	ARAYA-SAL-027.Table.1.selections.txt	l	0.366794176999989	NA	2	Own recordins	Dominican Republic	Tree in back of parking lot of Pueblos Indigenas (?), 5 m perch	18.513739	-68.379637	13-Jan-18	PH	Has been singing for a while with long pauses, territory goes back into dense vegetation but trees are not very high, sunny, 20% clouds, 18 degrees C	NA	NA	14
