Selection	View	Channel	Begin Time (s)	End Time (s)	Begin File	Begin Path	File Offset (s)	Low Freq (Hz)	High Freq (Hz)	selec.file	element	gap	song	Indiv	Source	Country	Location	Coor.Lat	Coor.Long	Date	Entered.by	Comments	Male.ID.comment	ovlp.sels	old.selec	selec.file.1
48	Spectrogram 1	1	371.113361805	371.356176353	ARAYA-SAL-027.wav	C:/Users/melan/Documents/vervain_recs/converted_sound_files/ARAYA-SAL-027.wav	101.096	4427.6	10225.8	ARAYA-SAL-027.Table.1.selections.txt	a	0.465327106999993	NA	2	Own recordins	Dominican Republic	Tree in back of parking lot of Pueblos Indigenas (?), 5 m perch	18.513739	-68.379637	13-Jan-18	PH	Has been singing for a while with long pauses, territory goes back into dense vegetation but trees are not very high, sunny, 20% clouds, 18 degrees C	NA	NA	1	vervain.selections.txt
49	Spectrogram 1	1	371.997505669	372.112796892	ARAYA-SAL-027.wav	C:/Users/melan/Documents/vervain_recs/converted_sound_files/ARAYA-SAL-027.wav	101.980	2468.1	11319.1	ARAYA-SAL-027.Table.1.selections.txt	b	0.198336143999995	NA	2	Own recordins	Dominican Republic	Tree in back of parking lot of Pueblos Indigenas (?), 5 m perch	18.513739	-68.379637	13-Jan-18	PH	Has been singing for a while with long pauses, territory goes back into dense vegetation but trees are not very high, sunny, 20% clouds, 18 degrees C	NA	NA	2	vervain.selections.txt
50	Spectrogram 1	1	372.186505669	372.370567094	ARAYA-SAL-027.wav	C:/Users/melan/Documents/vervain_recs/converted_sound_files/ARAYA-SAL-027.wav	102.169	5051.9	7681.6	ARAYA-SAL-027.Table.1.selections.txt	c	0.328017469000002	NA	2	Own recordins	Dominican Republic	Tree in back of parking lot of Pueblos Indigenas (?), 5 m perch	18.513739	-68.379637	13-Jan-18	PH	Has been singing for a while with long pauses, territory goes back into dense vegetation but trees are not very high, sunny, 20% clouds, 18 degrees C	NA	NA	3	vervain.selections.txt
51	Spectrogram 1	1	372.684505669	372.882208130	ARAYA-SAL-027.wav	C:/Users/melan/Documents/vervain_recs/converted_sound_files/ARAYA-SAL-027.wav	102.667	5276.6	10127.7	ARAYA-SAL-027.Table.1.selections.txt	d	0.343274094999998	NA	2	Own recordins	Dominican Republic	Tree in back of parking lot of Pueblos Indigenas (?), 5 m perch	18.513739	-68.379637	13-Jan-18	PH	Has been singing for a while with long pauses, territory goes back into dense vegetation but trees are not very high, sunny, 20% clouds, 18 degrees C	NA	NA	4	vervain.selections.txt
52	Spectrogram 1	1	373.185474460	373.365490578	ARAYA-SAL-027.wav	C:/Users/melan/Documents/vervain_recs/converted_sound_files/ARAYA-SAL-027.wav	103.168	6020.7	10160.4	ARAYA-SAL-027.Table.1.selections.txt	e	0.358530721999998	NA	2	Own recordins	Dominican Republic	Tree in back of parking lot of Pueblos Indigenas (?), 5 m perch	18.513739	-68.379637	13-Jan-18	PH	Has been singing for a while with long pauses, territory goes back into dense vegetation but trees are not very high, sunny, 20% clouds, 18 degrees C	NA	NA	5	vervain.selections.txt
53	Spectrogram 1	1	373.674673851	373.854689970	ARAYA-SAL-027.wav	C:/Users/melan/Documents/vervain_recs/converted_sound_files/ARAYA-SAL-027.wav	103.657	6452.8	9911.3	ARAYA-SAL-027.Table.1.selections.txt	f	0.419557228000002	NA	2	Own recordins	Dominican Republic	Tree in back of parking lot of Pueblos Indigenas (?), 5 m perch	18.513739	-68.379637	13-Jan-18	PH	Has been singing for a while with long pauses, territory goes back into dense vegetation but trees are not very high, sunny, 20% clouds, 18 degrees C	NA	NA	6	vervain.selections.txt
54	Spectrogram 1	1	374.133505669	374.295317911	ARAYA-SAL-027.wav	C:/Users/melan/Documents/vervain_recs/converted_sound_files/ARAYA-SAL-027.wav	104.116	4936.2	10723.4	ARAYA-SAL-027.Table.1.selections.txt	m	0.305132528999991	NA	2	Own recordins	Dominican Republic	Tree in back of parking lot of Pueblos Indigenas (?), 5 m perch	18.513739	-68.379637	13-Jan-18	PH	Has been singing for a while with long pauses, territory goes back into dense vegetation but trees are not very high, sunny, 20% clouds, 18 degrees C	NA	NA	7	vervain.selections.txt
55	Spectrogram 1	1	374.659167855	374.791046074	ARAYA-SAL-027.wav	C:/Users/melan/Documents/vervain_recs/converted_sound_files/ARAYA-SAL-027.wav	104.642	6297.9	9134.9	ARAYA-SAL-027.Table.1.selections.txt	g	0.297504215000004	NA	2	Own recordins	Dominican Republic	Tree in back of parking lot of Pueblos Indigenas (?), 5 m perch	18.513739	-68.379637	13-Jan-18	PH	Has been singing for a while with long pauses, territory goes back into dense vegetation but trees are not very high, sunny, 20% clouds, 18 degrees C	NA	NA	8	vervain.selections.txt
56	Spectrogram 1	1	374.917505669	375.089922893	ARAYA-SAL-027.wav	C:/Users/melan/Documents/vervain_recs/converted_sound_files/ARAYA-SAL-027.wav	104.900	4636.7	10297.9	ARAYA-SAL-027.Table.1.selections.txt	h	0.350902407999996	NA	2	Own recordins	Dominican Republic	Tree in back of parking lot of Pueblos Indigenas (?), 5 m perch	18.513739	-68.379637	13-Jan-18	PH	Has been singing for a while with long pauses, territory goes back into dense vegetation but trees are not very high, sunny, 20% clouds, 18 degrees C	NA	NA	9	vervain.selections.txt
57	Spectrogram 1	1	375.619505669	375.781317911	ARAYA-SAL-027.wav	C:/Users/melan/Documents/vervain_recs/converted_sound_files/ARAYA-SAL-027.wav	105.602	3829.8	10127.7	ARAYA-SAL-027.Table.1.selections.txt	i	0.373787348000008	NA	2	Own recordins	Dominican Republic	Tree in back of parking lot of Pueblos Indigenas (?), 5 m perch	18.513739	-68.379637	13-Jan-18	PH	Has been singing for a while with long pauses, territory goes back into dense vegetation but trees are not very high, sunny, 20% clouds, 18 degrees C	NA	NA	10	vervain.selections.txt
